District,Category,Bedrooms,Livingrooms,Bathrooms,Furnished,Kitechen,Garage,Elevator,AC,Price,Region,floor_number,AGE
شقة للإيجار في شارع وادي فحيه ، حي الربيع ، الرياض ، الرياض,family,2.0,1.0,2,yes,yes,yes,yes,yes,130000.0,East,1.0,4.0
شقة للإيجار في حي ، شارع محمد بن عبدالعزيز العجاجي ، حي القيروان ، الرياض ، الرياض,family,3.0,1.0,3,no,yes,no,yes,yes,60000.0,East,2.0,1.0
شقة للإيجار في شارع محمد بن عبدالباقي سنبل ، حي القيروان ، الرياض ، الرياض,family,3.0,1.0,3,no,yes,no,no,no,115000.0,East,1.0,1.0
شقة للإيجار في شارع رقم 356 ، حي النرجس ، الرياض ، الرياض,family,3.0,1.0,2,no,yes,no,no,no,50000.0,East,2.0,1.0
شقة للإيجار في شارع وادي وج ، حي الملقا ، الرياض ، الرياض,family,1.0,1.0,1,no,yes,no,yes,yes,28000.0,East,2.0,1.0
شقة للإيجار في حي الياسمين ، الرياض ، الرياض,family,2.0,1.0,3,no,no,no,yes,no,70000.0,East,2.0,1.0
شقة للإيجار في شارع يلملم ، حي العقيق ، الرياض ، الرياض,family,3.0,1.0,2,no,yes,no,yes,yes,28000.0,East,2.0,1.0
شقة للإيجار في شارع محمد اقبال ، حي النرجس ، الرياض ، الرياض,family,3.0,1.0,2,no,no,no,no,no,35000.0,East,2.0,1.0
شقة للإيجار في استراحة الأقواس ، حي العارض ، الرياض ، الرياض,family,3.0,1.0,3,no,no,no,no,no,36000.0,East,2.0,1.0
شقة للإيجار في شارع الحاتمية ، حي الملقا ، الرياض ، الرياض,family,3.0,1.0,2,no,yes,no,yes,yes,43000.0,East,2.0,1.0
شقة للإيجار في شارع فاطمة أم الحسن الطبري ، حي النرجس ، الرياض ، الرياض,family,3.0,1.0,2,no,yes,no,no,no,26000.0,East,2.0,1.0
شقة للإيجار في شارع العلوه ، حي حطين ، الرياض ، الرياض,family,3.0,1.0,3,no,yes,no,yes,yes,85000.0,East,2.0,4.0
شقة للإيجار في شارع الشماسية ، حي العليا ، الرياض ، الرياض,family,3.0,1.0,2,no,yes,no,yes,yes,48000.0,East,1.0,4.0
شقة للإيجار في حي الياسمين ، الرياض ، الرياض,family,4.0,1.0,4,no,yes,no,no,yes,65000.0,East,1.0,8.0
شقة للإيجار في شارع العليا ، حي العارض ، الرياض ، الرياض,family,2.0,1.0,2,no,yes,no,no,no,20000.0,East,3.0,1.0
شقة للإيجار في شارع وادي البطحاء ، حي الملقا ، الرياض ، الرياض,family,1.0,1.0,1,no,yes,no,yes,yes,27000.0,East,1.0,4.0
شقة للإيجار في حي ، شارع الشيخ عبدالله بن جبرين ، حي القيروان ، الرياض ، الرياض,family,3.0,2.0,3,no,yes,no,no,no,115000.0,East,2.0,1.0
شقة للإيجار في شارع الأمير فيصل بن عبدالله بن عبدالرحمن ، حي حطين ، الرياض ، الرياض,family,4.0,1.0,3,no,yes,no,yes,yes,62000.0,East,1.0,1.0
شقة للإيجار في شارع رقم 378 ، حي النرجس ، الرياض ، الرياض,singal,1.0,1.0,1,no,yes,no,yes,yes,20000.0,East,2.0,6.0
شقة للإيجار في شارع الدهناء ، حي الملقا ، الرياض ، الرياض,family,1.0,1.0,1,no,yes,no,yes,yes,28000.0,East,1.0,8.0
شقة للإيجار في حي ، شارع ريحانه بنت زيد ، حي العارض ، الرياض ، الرياض,family,3.0,1.0,2,no,yes,no,no,yes,38000.0,East,2.0,2.0
شقة للإيجار في شارع المذنب ، حي الفلاح ، الرياض ، الرياض,singal,1.0,1.0,1,no,yes,no,no,no,21000.0,East,1.0,1.0
شقة للإيجار في شارع الوديان ، حي العقيق ، الرياض ، الرياض,family,4.0,1.0,2,no,yes,no,no,yes,45000.0,East,1.0,4.0
شقة للإيجار في شارع وادي وج ، حي الملقا ، الرياض ، الرياض,singal,2.0,1.0,1,no,yes,no,yes,yes,33000.0,East,1.0,5.0
شقة للإيجار في شارع العباس بن عبدالمطلب ، حي التعاون ، الرياض ، الرياض,family,4.0,1.0,3,no,yes,no,no,yes,42000.0,East,2.0,4.0
شقة للإيجار في شارع الحسين بن علي ، حي التعاون ، الرياض ، الرياض,family,1.0,1.0,1,no,yes,no,yes,yes,27000.0,East,2.0,3.0
شقة للإيجار في شارع رقم 468 ، حي النرجس ، الرياض ، الرياض,family,5.0,2.0,3,no,yes,yes,yes,yes,55000.0,East,1.0,1.0
شقة للإيجار في شارع وادي الزرقاء ، حي الندى ، الرياض ، الرياض,family,3.0,1.0,3,yes,yes,no,no,yes,130000.0,East,1.0,1.0
شقة للإيجار في شارع الشعيفان ، حي النرجس ، الرياض ، الرياض,family,3.0,1.0,2,no,yes,no,no,no,35000.0,East,3.0,1.0
شقة للإيجار في شارع الكوثر ، حي العارض ، الرياض ، الرياض,family,3.0,1.0,3,no,yes,no,yes,yes,60000.0,East,1.0,1.0
شقة للإيجار في حي الملقا ، الرياض ، الرياض,family,3.0,1.0,3,no,yes,yes,yes,yes,115000.0,East,2.0,4.0
شقة للإيجار في شارع ابي بكر الرازي ، حي السليمانية ، الرياض ، الرياض,family,1.0,1.0,1,no,yes,no,yes,yes,20000.0,East,3.0,4.0
شقة للإيجار في شارع وادي البطحاء ، حي الملقا ، الرياض ، الرياض,family,4.0,1.0,3,no,yes,no,yes,yes,40000.0,East,3.0,4.0
شقة للإيجار في شارع القوس ، حي حطين ، الرياض ، الرياض,family,2.0,1.0,2,no,no,no,no,yes,40000.0,East,2.0,4.0
شقة للإيجار في شارع عبدالوهاب اشي ، حي النرجس ، الرياض ، الرياض,family,3.0,1.0,3,no,yes,no,no,yes,40000.0,East,3.0,4.0
شقة للإيجار في حي الياسمين ، الرياض ، الرياض,family,2.0,1.0,2,no,yes,no,no,no,37000.0,East,3.0,1.0
شقة للإيجار في طريق الأمير تركي بن عبدالعزيز الأول ، حي حطين ، الرياض ، الرياض,family,1.0,1.0,1,no,yes,no,yes,yes,42000.0,East,1.0,4.0
شقة للإيجار في شارع مالك بن انس ، حي النرجس ، الرياض ، الرياض,family,4.0,1.0,3,no,yes,no,no,yes,45000.0,East,1.0,3.0
شقة للإيجار في شارع القنا ، حي النرجس ، الرياض ، الرياض,family,3.0,1.0,3,no,yes,no,yes,yes,65000.0,East,2.0,4.0
شقة للإيجار في طريق ابي بكر الصديق ، حي النرجس ، الرياض ، الرياض,family,3.0,1.0,2,no,yes,no,no,no,35000.0,East,3.0,1.0
شقة للإيجار في شارع العباس بن عبدالمطلب ، حي التعاون ، الرياض ، الرياض,family,1.0,1.0,1,no,yes,no,yes,yes,26000.0,East,2.0,1.0
شقة للإيجار في شارع الخطابة ، حي الفلاح ، الرياض ، الرياض,singal,1.0,1.0,1,no,yes,no,yes,yes,16000.0,East,3.0,9.0
شقة للإيجار في شارع اسماء بنت مالك ، حي العارض ، الرياض ، الرياض,family,3.0,1.0,2,no,no,no,no,no,27000.0,East,2.0,1.0
شقة للإيجار في شارع رافع بن سالم ، حي العارض ، الرياض ، الرياض,family,2.0,1.0,2,no,no,no,no,no,32000.0,East,3.0,1.0
شقة للإيجار في حي ، شارع أحمد بن سعيد بن الهندي ، حي العارض ، الرياض ، الرياض,family,3.0,1.0,2,no,no,no,no,no,25000.0,East,3.0,2.0
شقة للإيجار في شارع الشيح ، حي الفلاح ، الرياض ، الرياض,family,1.0,1.0,1,no,yes,no,no,yes,20000.0,East,2.0,4.0
شقة للإيجار في شارع نعمان بن مقرن المزيني ، حي العارض ، الرياض ، الرياض,family,2.0,1.0,2,no,yes,no,yes,yes,40000.0,East,2.0,1.0
شقة للإيجار في شارع رقم 385 ، حي الملقا ، الرياض ، الرياض,family,2.0,1.0,2,no,yes,no,yes,yes,46000.0,East,2.0,1.0
شقة للإيجار في شارع العمرة ، حي الملقا ، الرياض ، الرياض,family,3.0,1.0,2,no,yes,no,yes,yes,42000.0,East,2.0,5.0
شقة للإيجار في شارع الامير تركي بن عبدالعزيز الثاني ، حي المروج ، الرياض ، الرياض,family,1.0,1.0,1,no,yes,no,no,yes,27000.0,East,1.0,2.0
شقة للإيجار في شارع يدمة ، حي النرجس ، الرياض ، الرياض,family,3.0,1.0,3,no,yes,no,yes,yes,70000.0,East,3.0,1.0
شقة للإيجار في شارع السهام ، حي النرجس ، الرياض ، الرياض,family,4.0,1.0,3,no,yes,no,no,yes,50000.0,East,1.0,1.0
شقة للإيجار في شارع الرشيد التاجر ، حي العليا ، الرياض ، الرياض,family,3.0,1.0,3,no,yes,yes,no,yes,55000.0,East,3.0,1.0
شقة للإيجار في شارع رقم 185 ، حي الملقا ، الرياض ، الرياض,family,3.0,1.0,3,no,yes,no,yes,yes,70000.0,East,1.0,1.0
شقة للإيجار في شارع ابن الشجري ، حي القيروان ، الرياض ، الرياض,family,3.0,1.0,3,no,yes,no,yes,yes,60000.0,East,1.0,4.0
شقة للإيجار في طريق العروبة ، حي الورود ، الرياض ، الرياض,family,3.0,1.0,2,no,yes,no,no,no,25000.0,East,2.0,4.0
شقة للإيجار في حي الملقا ، الرياض ، الرياض,family,1.0,1.0,1,no,yes,no,yes,yes,30000.0,East,3.0,4.0
شقة للإيجار في شارع جعفر الوجيه ، حي النرجس ، الرياض ، الرياض,family,3.0,1.0,2,no,no,no,no,no,55000.0,East,1.0,6.0
شقة للإيجار في شارع زياد بن صبيح ، حي النرجس ، الرياض ، الرياض,family,3.0,1.0,2,no,yes,no,no,no,40000.0,East,2.0,1.0
شقة للإيجار في حي ، شارع عبدالله الخزرجي ، حي العارض ، الرياض ، الرياض,family,3.0,1.0,2,no,no,no,no,no,27000.0,East,3.0,1.0
شقة للإيجار في حي الياسمين ، الرياض ، الرياض,family,3.0,1.0,2,no,yes,no,no,yes,36000.0,East,2.0,2.0
شقة للإيجار في شارع الأمير سلمان بن محمد بن سعود ، حي الصحافة ، الرياض ، الرياض,family,2.0,1.0,2,no,yes,no,yes,yes,34000.0,East,2.0,3.0
شقة للإيجار في حي ، طريق الملك عبدالعزيز ، حي العارض ، الرياض ، الرياض,family,5.0,1.0,4,no,no,no,no,yes,55000.0,East,2.0,1.0
شقة للإيجار في حي ، شارع مشاش الجرود ، حي العارض ، الرياض ، الرياض,family,2.0,1.0,2,no,yes,no,no,no,35000.0,East,3.0,1.0
شقة للإيجار في شارع علي المفتي ، حي العارض ، الرياض ، الرياض,family,3.0,1.0,2,no,yes,no,no,yes,28000.0,East,3.0,1.0
شقة للإيجار في شارع رقم 230 ، حي النرجس ، الرياض ، الرياض,family,3.0,1.0,2,no,yes,no,no,no,45000.0,East,1.0,1.0
شقة للإيجار في شارع السبايح ، حي العارض ، الرياض ، الرياض,family,4.0,1.0,2,no,yes,no,no,no,35000.0,East,3.0,1.0
شقة للإيجار في شارع وعلة ، حي العقيق ، الرياض ، الرياض,singal,1.0,1.0,1,no,no,no,yes,yes,25000.0,East,2.0,4.0
شقة للإيجار في شارع وادي الزرقاء ، حي الوادي ، الرياض ، الرياض,family,1.0,1.0,1,no,yes,no,no,yes,18000.0,East,2.0,9.0
شقة للإيجار في حي النرجس ، الرياض ، الرياض,family,3.0,1.0,2,no,yes,no,no,yes,38000.0,East,1.0,4.0
شقة للإيجار في شارع يدمة ، حي النرجس ، الرياض ، الرياض,family,3.0,1.0,3,no,yes,no,no,yes,70000.0,East,1.0,4.0
شقة للإيجار في شارع عبدالكريم بن حمد ، حي النرجس ، الرياض ، الرياض,family,3.0,1.0,3,yes,yes,no,no,yes,37000.0,East,3.0,5.0
شقة للإيجار في الرياض ، حي العارض ، الرياض,family,3.0,1.0,2,no,yes,no,no,no,32000.0,East,3.0,1.0
شقة للإيجار في حي ، شارع حمود بن ناصر بن عمر ، حي القيروان ، الرياض ، الرياض,family,3.0,1.0,3,no,no,no,no,yes,40000.0,East,2.0,4.0
شقة للإيجار في حي الياسمين ، الرياض ، الرياض,family,3.0,1.0,1,no,yes,no,yes,yes,28800.0,East,1.0,4.0
شقة للإيجار في شارع عبدالملك العباس ، حي الغدير ، الرياض ، الرياض,family,3.0,2.0,3,no,yes,no,no,yes,35000.0,East,2.0,1.0
شقة للإيجار في شارع عبدالله الخرجي ، حي الملقا ، الرياض ، الرياض,family,2.0,1.0,1,no,yes,no,yes,yes,38000.0,East,3.0,4.0
شقة للإيجار في شارع رقم 113 ، حي النرجس ، الرياض ، الرياض,family,3.0,2.0,3,no,no,no,no,no,60000.0,East,2.0,1.0
شقة للإيجار في شارع وادي البطحاء ، حي الملقا ، الرياض ، الرياض,family,3.0,1.0,3,no,yes,yes,yes,yes,40000.0,East,3.0,5.0
شقة للإيجار في حي ، طريق الملك فهد ، حي الصحافة ، الرياض ، الرياض,singal,3.0,2.0,3,no,yes,yes,yes,yes,210000.0,East,20.0,4.0
شقة للإيجار في حي العارض ، الرياض ، الرياض,family,3.0,1.0,2,no,yes,no,no,yes,35000.0,East,3.0,1.0
شقة للإيجار في حي ، شارع الشيخ عبدالله بن جبرين ، حي القيروان ، الرياض ، الرياض,family,3.0,1.0,3,no,yes,no,yes,yes,66000.0,East,2.0,4.0
شقة للإيجار في شارع ابي بكر الصديق ، حي الوادي ، الرياض ، الرياض,family,3.0,1.0,2,no,yes,no,no,no,21000.0,East,1.0,19.0
شقة للإيجار في شارع وادي وج ، حي الملقا ، الرياض ، الرياض,family,1.0,1.0,1,no,yes,no,yes,yes,25000.0,East,2.0,2.0
شقة للإيجار في حي الياسمين ، الرياض ، الرياض,family,3.0,2.0,3,yes,yes,no,yes,yes,85000.0,East,1.0,2.0
شقة للإيجار في شارع الأمير سلمان بن محمد بن سعود ، حي الصحافة ، الرياض ، الرياض,family,3.0,1.0,2,no,yes,no,no,yes,30000.0,East,2.0,8.0
شقة للإيجار في شارع عبدالرحمن بن موسى ، حي العارض ، الرياض ، الرياض,family,3.0,1.0,2,no,yes,no,no,no,25000.0,East,1.0,4.0
شقة للإيجار في شارع البلدي ، حي العارض ، الرياض ، الرياض,family,3.0,1.0,2,no,no,no,no,no,35000.0,East,2.0,1.0
شقة للإيجار في حي الياسمين ، الرياض ، الرياض,family,3.0,1.0,2,no,yes,no,yes,yes,40000.0,East,2.0,4.0
شقة للإيجار في شارع خليج السويس ، حي الملقا ، الرياض ، الرياض,family,2.0,1.0,1,no,yes,no,yes,yes,46000.0,East,2.0,1.0
شقة للإيجار في حي العارض ، الرياض ، الرياض,family,4.0,1.0,2,no,no,no,no,no,35000.0,East,2.0,4.0
شقة للإيجار في شارع رقم 253 ، حي الملقا ، الرياض ، الرياض,family,4.0,1.0,2,no,yes,no,yes,yes,38000.0,East,2.0,8.0
شقة للإيجار في حي ، شارع ريحانه بنت زيد ، حي العارض ، الرياض ، الرياض,family,3.0,1.0,2,no,yes,no,no,no,35000.0,East,2.0,2.0
شقة للإيجار في حي الياسمين ، الرياض ، الرياض,family,2.0,1.0,2,no,yes,no,yes,yes,50000.0,East,2.0,4.0
شقة للإيجار في حي الصحافة ، الرياض ، الرياض,family,4.0,2.0,3,no,yes,no,no,no,35000.0,East,3.0,8.0
شقة للإيجار في شارع جعفر الوجيه ، حي النرجس ، الرياض ، الرياض,family,3.0,1.0,2,no,yes,no,no,no,35000.0,East,2.0,1.0
شقة للإيجار في شارع وادي وج ، حي الملقا ، الرياض ، الرياض,family,1.0,1.0,2,no,yes,no,yes,yes,30000.0,East,3.0,3.0
شقة للإيجار في شارع عبدالرحمن الدباس ، حي التعاون ، الرياض ، الرياض,family,1.0,1.0,1,no,yes,no,yes,yes,27000.0,East,3.0,3.0
شقة للإيجار في شارع حوطة بني تميم ، حي العليا ، الرياض ، الرياض,family,1.0,1.0,2,yes,yes,yes,yes,yes,170000.0,East,2.0,1.0
شقة للإيجار في شارع رقم 557 ، حي النرجس ، الرياض ، الرياض,family,3.0,1.0,2,no,yes,no,no,yes,42000.0,East,2.0,6.0
شقة للإيجار في شارع محمد بن عبدالعزيز الدغيثر ، حي الملقا ، الرياض ، الرياض,family,3.0,2.0,3,no,yes,no,yes,yes,45000.0,East,2.0,3.0
شقة للإيجار في حي ، شارع ريحانه بنت زيد ، حي العارض ، الرياض ، الرياض,family,3.0,1.0,2,no,yes,no,no,yes,34000.0,East,3.0,2.0
شقة للإيجار في طريق الملك عبدالله الفرعي ، حي صلاح الدين ، الرياض ، الرياض,family,2.0,1.0,2,no,yes,no,no,yes,32000.0,East,2.0,8.0
شقة للإيجار في شارع رقم 281 ، حي الملقا ، الرياض ، الرياض,family,3.0,1.0,3,no,yes,no,yes,no,85000.0,East,1.0,1.0
شقة للإيجار في حي العارض ، الرياض ، الرياض,family,4.0,1.0,3,no,yes,no,no,yes,75000.0,East,1.0,1.0
شقة للإيجار في طريق عثمان بن عفان ، حي النرجس ، الرياض ، الرياض,family,3.0,1.0,2,no,no,no,no,no,40000.0,East,2.0,1.0
شقة للإيجار في حي ، شارع عبدالله غازي ، حي القيروان ، الرياض ، الرياض,family,3.0,1.0,2,no,yes,no,yes,yes,45000.0,East,2.0,1.0
شقة للإيجار في شارع رقم 473 ، حي الملقا ، الرياض ، الرياض,family,4.0,1.0,2,no,yes,no,no,yes,21000.0,East,2.0,1.0
شقة للإيجار في حي ، شارع العلمين ، حي الملك عبدالله ، الرياض ، الرياض,family,3.0,2.0,3,no,no,no,yes,no,65000.0,East,3.0,1.0
شقة للإيجار في شارع الوفاء ، حي الملقا ، الرياض ، الرياض,family,3.0,1.0,3,no,no,no,no,yes,88000.0,East,1.0,1.0
شقة للإيجار في شارع وادي الشعراء ، حي حطين ، الرياض ، الرياض,family,4.0,1.0,4,no,yes,no,no,yes,55000.0,East,1.0,4.0
شقة للإيجار في شارع زيد بن عاصم بن عمرو بن عوف ، حي النرجس ، الرياض ، الرياض,family,2.0,1.0,2,no,yes,no,no,no,31000.0,East,2.0,1.0
شقة للإيجار في شارع جميل الزهاوي ، حي التعاون ، الرياض ، الرياض,family,1.0,1.0,1,no,yes,no,yes,yes,25000.0,East,2.0,5.0
شقة للإيجار في حي النرجس ، الرياض ، الرياض,family,4.0,1.0,4,no,yes,no,yes,yes,43000.0,East,1.0,4.0
شقة للإيجار في شارع المهراس ، حي النرجس ، الرياض ، الرياض,family,3.0,1.0,2,no,yes,no,no,no,35000.0,East,2.0,1.0
شقة للإيجار في حي الياسمين ، الرياض ، الرياض,family,3.0,2.0,2,no,yes,no,no,yes,45000.0,East,2.0,2.0
شقة للإيجار في شارع الدهناء ، حي الملقا ، الرياض ، الرياض,family,1.0,1.0,1,no,yes,no,yes,yes,35000.0,East,2.0,4.0
شقة للإيجار في شارع الصفار ، حي العارض ، الرياض ، الرياض,family,3.0,2.0,4,no,yes,no,no,no,45000.0,East,2.0,2.0
شقة للإيجار في شارع الامير فيصل بن عبدالله بن عبدالرحمن ، حي حطين ، الرياض ، الرياض,family,4.0,1.0,3,no,yes,yes,yes,yes,71000.0,East,1.0,1.0
شقة للإيجار في شارع تركي بن احمد السديري ، حي النزهة ، الرياض ، الرياض,family,4.0,1.0,3,no,yes,yes,no,yes,80000.0,East,1.0,4.0
شقة للإيجار في شارع القضيباء ، حي الندى ، الرياض ، الرياض,family,3.0,1.0,2,no,yes,no,no,no,35000.0,East,1.0,4.0
شقة للإيجار في شارع جودة ، حي العليا ، الرياض ، الرياض,singal,2.0,1.0,1,no,no,no,no,no,25000.0,East,1.0,30.0
شقة للإيجار في حي ، شارع إبراهيم بن السندي ، حي القيروان ، الرياض ، الرياض,family,2.0,2.0,2,no,yes,no,no,no,50000.0,East,2.0,1.0
شقة للإيجار في شارع رقم 512 ، حي النرجس ، الرياض ، الرياض,family,3.0,1.0,3,no,yes,no,no,no,45000.0,East,2.0,1.0
شقة للإيجار في شارع عبدالرحمن بن عبدالقادر فقيه ، حي القيروان ، الرياض ، الرياض,family,3.0,1.0,3,no,yes,yes,yes,yes,70000.0,East,1.0,1.0
شقة للإيجار في شارع ابها ، حي الملقا ، الرياض ، الرياض,family,3.0,2.0,3,no,yes,no,yes,yes,72000.0,East,2.0,1.0
شقة للإيجار في طريق أنس ابن مالك ، حي النرجس ، الرياض ، الرياض,singal,1.0,1.0,1,no,yes,yes,yes,yes,20000.0,East,1.0,3.0
شقة للإيجار في شارع القرنين ، حي العقيق ، الرياض ، الرياض,family,5.0,3.0,2,no,yes,no,yes,yes,75000.0,East,1.0,4.0
شقة للإيجار في شارع وادي الصمان ، حي حطين ، الرياض ، الرياض,family,3.0,1.0,2,no,yes,no,yes,yes,35000.0,East,3.0,4.0
شقة للإيجار في طريق الأمير محمد بن سلمان بن عبدالعزيز ، حي العقيق ، الرياض ، الرياض,family,1.0,1.0,1,no,no,no,yes,yes,25000.0,East,3.0,1.0
شقة للإيجار في طريق أنس ابن مالك ، حي الملقا ، الرياض ، الرياض,family,1.0,1.0,2,no,yes,no,yes,yes,30000.0,East,3.0,4.0
شقة للإيجار في الرياض ، حي النرجس ، الرياض,family,3.0,1.0,3,no,no,no,no,no,33000.0,East,2.0,1.0
شقة للإيجار في شارع رقم 355 ، حي النرجس ، الرياض ، الرياض,family,4.0,1.0,3,no,yes,no,yes,yes,50000.0,East,3.0,2.0
شقة للإيجار في شارع الحديثة ، حي المصيف ، الرياض ، الرياض,family,1.0,1.0,1,no,yes,no,yes,yes,27000.0,East,2.0,5.0
شقة للإيجار في طريق عثمان بن عفان ، حي النرجس ، الرياض ، الرياض,family,3.0,1.0,2,no,yes,no,no,no,35000.0,East,2.0,1.0
شقة للإيجار في شارع وادي وج ، حي الملقا ، الرياض ، الرياض,family,4.0,1.0,2,no,yes,no,yes,yes,45000.0,East,2.0,4.0
شقة للإيجار في شارع عبدالله بن شهيوين ، حي الملقا ، الرياض ، الرياض,family,4.0,1.0,2,no,yes,no,yes,no,26000.0,East,3.0,4.0
شقة للإيجار في حي الياسمين ، الرياض ، الرياض,family,2.0,1.0,2,no,yes,no,no,yes,50000.0,East,2.0,6.0
شقة للإيجار في شارع ابها ، حي الملقا ، الرياض ، الرياض,family,3.0,1.0,3,no,yes,no,no,yes,75000.0,East,2.0,1.0
شقة للإيجار في شارع الامير سلمان بن محمد بن سعود ، حي الصحافة ، الرياض ، الرياض,family,4.0,1.0,2,no,yes,no,yes,yes,40000.0,East,1.0,10.0
شقة للإيجار في شارع عسفان ، حي النرجس ، الرياض ، الرياض,family,2.0,1.0,2,no,yes,no,yes,yes,35000.0,East,3.0,4.0
شقة للإيجار في شارع مباركة بنت عبدالقادر الطبرية ، حي النرجس ، الرياض ، الرياض,family,3.0,2.0,3,no,no,no,no,yes,40000.0,East,3.0,1.0
شقة للإيجار في حي ، شارع الامير عبدالله بن سعود بن عبدالله بن صنيتان ال سعود ، حي الصحافة ، الرياض ، الرياض,family,2.0,1.0,2,no,yes,no,yes,yes,35000.0,East,2.0,3.0
شقة للإيجار في شارع يدمة ، حي النرجس ، الرياض ، الرياض,family,3.0,1.0,4,no,yes,yes,yes,yes,75000.0,East,1.0,1.0
شقة للإيجار في حي النرجس ، الرياض ، الرياض,family,2.0,1.0,5,no,yes,no,no,yes,50000.0,East,2.0,1.0
